Year,League,Statistic,Team,Value
1936,NL,Batting Average,Pittsburgh,.286
1936,NL,Doubles,St. Louis,332
1936,NL,Hits,Pittsburgh,1596
1936,NL,Home Runs,Philadelphia,103
1936,NL,On Base Percentage,Pittsburgh,.349
1936,NL,Runs,Pittsburgh,804
1936,NL,Slugging Average,St. Louis,.410
1936,NL,Stolen Bases,St. Louis,69
1936,NL,Triples,Pittsburgh,80
1937,NL,Base on Balls,Chicago,538
1937,NL,Batting Average,Chicago,.287
1937,NL,Doubles,St. Louis,264
1937,NL,Hits,Pittsburgh,1550
1937,NL,Home Runs,New York,111
1937,NL,On Base Percentage,Chicago,.355
1937,NL,Runs,Chicago,811
1937,NL,Slugging Average,Chicago,.416
1937,NL,Stolen Bases,St. Louis,78
1937,NL,Triples,Pittsburgh,86
1938,NL,Base on Balls,Brooklyn,611
1938,NL,Batting Average,Pittsburgh,.279
1938,NL,Doubles,St. Louis,288
1938,NL,Hits,St. Louis,1542
1938,NL,Home Runs,New York,125
1938,NL,On Base Percentage,Pittsburgh,.340
1938,NL,Runs,St. Louis,725
1938,NL,Slugging Average,St. Louis,.407
1938,NL,Stolen Bases,Brooklyn,66
1938,NL,Triples,Brooklyn,79
1939,NL,Base on Balls,Brooklyn,564
1939,NL,Batting Average,St. Louis,.294
1939,NL,Doubles,St. Louis,332
1939,NL,Hits,St. Louis,1601
1939,NL,Home Runs,New York,116
1939,NL,On Base Percentage,St. Louis,.354
1939,NL,Runs,St. Louis,779
1939,NL,Slugging Average,St. Louis,.432
1939,NL,Stolen Bases,Chicago,61
1939,NL,Triples,Chicago,62
1940,NL,Base on Balls,Pittsburgh,553
1940,NL,Batting Average,Pittsburgh,.276
1940,NL,Doubles,Pittsburgh,276
1940,NL,Hits,St. Louis,1514
1940,NL,Home Runs,St. Louis,119
1940,NL,On Base Percentage,Pittsburgh,.346
1940,NL,Runs,Pittsburgh,809
1940,NL,Slugging Average,St. Louis,.411
1940,NL,Stolen Bases,St. Louis,97
1940,NL,Triples,Brooklyn,70
1941,NL,Base on Balls,Brooklyn,600
1941,NL,Batting Average,Brooklyn,.272
1941,NL,Doubles,Brooklyn,286
1941,NL,Hits,Brooklyn,1494
1941,NL,Home Runs,Brooklyn,101
1941,NL,On Base Percentage,Brooklyn,.347
1941,NL,Runs,Brooklyn,800
1941,NL,Slugging Average,Brooklyn,.405
1941,NL,Stolen Bases,Cincinnati,68
1941,NL,Triples,Brooklyn,69
1942,NL,Base on Balls,Brooklyn,572
1942,NL,Batting Average,St. Louis,.268
1942,NL,Doubles,St. Louis,282
1942,NL,Hits,St. Louis,1454
1942,NL,Home Runs,New York,109
1942,NL,On Base Percentage,St. Louis,.338
1942,NL,Runs,St. Louis,755
1942,NL,Slugging Average,St. Louis,.379
1942,NL,Stolen Bases,Brooklyn,81
1942,NL,Triples,St. Louis,69
1943,NL,Base on Balls,Brooklyn,580
1943,NL,Batting Average,St. Louis,.279
1943,NL,Doubles,Brooklyn,263
1943,NL,Hits,St. Louis,1515
1943,NL,Home Runs,New York,81
1943,NL,On Base Percentage,Brooklyn,.346
1943,NL,Runs,Brooklyn,716
1943,NL,Slugging Average,St. Louis,.391
1943,NL,Stolen Bases,Pittsburgh,64
1943,NL,Triples,Pittsburgh,73
1944,NL,Base on Balls,Pittsburgh,573
1944,NL,Batting Average,St. Louis,.275
1944,NL,Doubles,St. Louis,274
