Year,League,Statistic,Team,Value
1947,NL,Fewest Home Runs Allowed,Boston,93.0
1947,NL,Fewest Walks Allowed,Boston,453.0
1947,NL,Saves,Brooklyn,34.0
1947,NL,Shutouts,Boston,14.0
1947,NL,Strikeouts,St. Louis,642.0
1948,NL,Complete Games,Boston,70.0
1948,NL,ERA,Boston,3.38
1948,NL,Fewest Hits Allowed,Brooklyn,1328.0
1948,NL,Fewest Home Runs Allowed,Chicago,89.0
1948,NL,Fewest Walks Allowed,Boston,430.0
1948,NL,Saves,Brooklyn,22.0
1948,NL,Shutouts,New York,15.0
1948,NL,Strikeouts,Brooklyn,670.0
1949,NL,Complete Games,Boston,68.0
1949,NL,ERA,St. Louis,3.44
1949,NL,Fewest Hits Allowed,Brooklyn,1306.0
1949,NL,Fewest Home Runs Allowed,St. Louis,87.0
